DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Q3_Time,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Standardized_Time,Race_Position
31,E OCON,Alpine,4,Italy,Imola,2022,Sprint,19.0,16.0,-1.0,19.0,28.505245901639345,30.380129032258065,30.285564516129032,257.7741935483871,2.0,-1.0,14.0
4,L NORRIS,McLaren,4,Italy,Imola,2022,Sprint,3.0,5.0,89.131,3.0,28.264661290322582,30.118349206349205,29.81706349206349,265.2063492063492,2.0,34.834,3.0
44,L HAMILTON,Mercedes,4,Italy,Imola,2022,Sprint,13.0,14.0,-1.0,13.0,28.45962295081967,30.45116129032258,30.310693548387096,261.2096774193548,2.0,-1.0,13.0
47,M SCHUMACHER,Haas F1 Team,4,Italy,Imola,2022,Sprint,12.0,10.0,-1.0,12.0,29.067737704918034,30.21816129032258,30.34666129032258,259.11290322580646,3.0,-1.0,17.0
5,S VETTEL,Aston Martin,4,Italy,Imola,2022,Sprint,9.0,13.0,91.062,9.0,28.41306451612903,30.11646031746032,30.179761904761907,260.1746031746032,2.0,70.892,8.0
55,C SAINZ,Ferrari,4,Italy,Imola,2022,Sprint,10.0,4.0,-1.0,10.0,,,,,1.0,-1.0,20.0
6,N LATIFI,Williams,4,Italy,Imola,2022,Sprint,18.0,19.0,-1.0,18.0,28.66177049180328,30.423387096774192,30.28712903225806,263.9516129032258,2.0,-1.0,16.0
63,G RUSSELL,Mercedes,4,Italy,Imola,2022,Sprint,11.0,11.0,-1.0,11.0,28.408870967741933,29.98192063492064,29.885984126984127,262.95238095238096,2.0,42.506,4.0
77,V BOTTAS,Alfa Romeo,4,Italy,Imola,2022,Sprint,8.0,7.0,90.439,8.0,28.511225806451613,29.935936507936507,29.83319047619048,263.7619047619048,2.0,43.181,5.0
1,M VERSTAPPEN,Red Bull Racing,5,United States,Miami,2022,Race,,,88.991,3.0,33.603125,37.92436842105263,27.816578947368424,296.9824561403509,2.0,0.0,1.0
10,P GASLY,AlphaTauri,5,United States,Miami,2022,Race,,,89.69,7.0,35.289795454545455,38.57071111111111,28.018511111111117,300.2,3.0,-1.0,18.0
11,S PEREZ,Red Bull Racing,5,United States,Miami,2022,Race,,,89.036,4.0,33.822232142857146,37.72198245614035,27.971280701754388,297.719298245614,3.0,10.638,4.0
14,F ALONSO,Alpine,5,United States,Miami,2022,Race,,,-1.0,11.0,33.670857142857145,38.0429649122807,28.0600350877193,292.17543859649123,2.0,37.128,11.0
16,C LECLERC,Ferrari,5,United States,Miami,2022,Race,,,88.796,1.0,33.53301785714286,38.10436842105264,27.792912280701756,294.4035087719298,2.0,3.786,2.0
18,L STROLL,Aston Martin,5,United States,Miami,2022,Race,,,90.676,10.0,33.95285714285714,37.949666666666666,27.84701754385965,300.7894736842105,2.0,37.026,10.0
20,K MAGNUSSEN,Haas F1 Team,5,United States,Miami,2022,Race,,,-1.0,16.0,33.929375,37.986877192982455,28.15825,298.64912280701753,3.0,-1.0,16.0
22,Y TSUNODA,AlphaTauri,5,United States,Miami,2022,Race,,,89.932,9.0,34.275357142857146,38.116473684210526,27.594403508771933,300.9649122807017,3.0,40.146,12.0
23,A ALBON,Williams,5,United States,Miami,2022,Race,,,-1.0,18.0,33.916446428571426,37.98552631578948,27.90884210526316,295.7543859649123,2.0,32.365,9.0
24,G ZHOU,Alfa Romeo,5,United States,Miami,2022,Race,,,-1.0,17.0,33.2222,37.22316666666666,30.44666666666667,259.0,1.0,-1.0,20.0
3,D RICCIARDO,McLaren,5,United States,Miami,2022,Race,,,-1.0,14.0,33.82380357142857,38.207,27.867140350877197,287.64912280701753,3.0,40.902,13.0
31,E OCON,Alpine,5,United States,Miami,2022,Race,,,-1.0,20.0,33.7765,37.96075438596491,27.986526315789472,294.9824561403509,2.0,28.386,8.0
4,L NORRIS,McLaren,5,United States,Miami,2022,Race,,,89.75,8.0,32.84071052631579,36.44279487179488,26.69776923076923,309.28205128205127,2.0,-1.0,19.0
44,L HAMILTON,Mercedes,5,United States,Miami,2022,Race,,,89.625,6.0,33.61341071428571,38.114017543859646,27.934350877192983,288.0175438596491,2.0,21.368,6.0
47,M SCHUMACHER,Haas F1 Team,5,United States,Miami,2022,Race,,,-1.0,15.0,34.19242857142857,38.13605263157895,28.225263157894734,296.3157894736842,3.0,73.305,15.0
5,S VETTEL,Aston Martin,5,United States,Miami,2022,Race,,,-1.0,13.0,34.28196226415094,38.16168518518518,27.983833333333333,293.8333333333333,2.0,-1.0,17.0
55,C SAINZ,Ferrari,5,United States,Miami,2022,Race,,,88.986,2.0,33.489982142857144,38.06484210526315,27.922421052631577,292.42105263157896,2.0,8.229,3.0
6,N LATIFI,Williams,5,United States,Miami,2022,Race,,,-1.0,19.0,34.37280357142857,38.01628070175438,27.728578947368423,289.140350877193,2.0,49.936,14.0
63,G RUSSELL,Mercedes,5,United States,Miami,2022,Race,,,-1.0,12.0,33.466678571428574,38.125807017543856,27.98122807017544,283.3157894736842,2.0,18.582,5.0
77,V BOTTAS,Alfa Romeo,5,United States,Miami,2022,Race,,,89.475,5.0,33.70964285714286,38.0951403508772,27.952087719298245,288.8421052631579,2.0,25.073,7.0
1,M VERSTAPPEN,Red Bull Racing,6,Spain,Barcelona,2022,Race,,,79.073,2.0,25.065246153846157,33.18777272727273,30.20209090909091,300.8360655737705,4.0,0.0,1.0
10,P GASLY,AlphaTauri,6,Spain,Barcelona,2022,Race,,,-1.0,14.0,25.627640625,33.86856923076923,30.90356923076923,300.9,4.0,-1.0,13.0
11,S PEREZ,Red Bull Racing,6,Spain,Barcelona,2022,Race,,,79.42,5.0,25.05689230769231,33.20490909090909,30.372666666666667,300.5,4.0,13.072,2.0
14,F ALONSO,Alpine,6,Spain,Barcelona,2022,Race,,,-1.0,17.0,25.502,33.637692307692305,30.723169230769237,296.4754098360656,4.0,-1.0,9.0
16,C LECLERC,Ferrari,6,Spain,Barcelona,2022,Race,,,78.75,1.0,25.15269230769231,33.32866666666667,31.13651851851852,294.6190476190476,2.0,-1.0,20.0
18,L STROLL,Aston Martin,6,Spain,Barcelona,2022,Race,,,-1.0,18.0,25.937875,33.8774,30.909815384615385,296.2586206896552,4.0,-1.0,15.0
20,K MAGNUSSEN,Haas F1 Team,6,Spain,Barcelona,2022,Race,,,79.682,8.0,25.48230158730159,34.490515625,31.4213125,298.7586206896552,3.0,-1.0,17.0
22,Y TSUNODA,AlphaTauri,6,Spain,Barcelona,2022,Race,,,-1.0,13.0,25.57253125,33.622892307692304,30.741984615384617,299.2758620689655,4.0,-1.0,10.0
23,A ALBON,Williams,6,Spain,Barcelona,2022,Race,,,-1.0,19.0,26.243873015873017,34.395078125,31.324484375,299.76271186440675,5.0,-1.0,18.0
24,G ZHOU,Alfa Romeo,6,Spain,Barcelona,2022,Race,,,-1.0,15.0,25.54833333333333,34.63335714285714,31.57417857142857,303.16,2.0,-1.0,19.0
3,D RICCIARDO,McLaren,6,Spain,Barcelona,2022,Race,,,80.297,9.0,25.52921875,33.76376923076923,31.100538461538463,298.7457627118644,4.0,-1.0,12.0
31,E OCON,Alpine,6,Spain,Barcelona,2022,Race,,,-1.0,12.0,25.366753846153845,33.495954545454545,30.694621212121213,295.271186440678,4.0,75.397,7.0
4,L NORRIS,McLaren,6,Spain,Barcelona,2022,Race,,,-1.0,11.0,25.41756923076923,33.48869696969697,30.77077272727273,297.5593220338983,4.0,83.235,8.0
44,L HAMILTON,Mercedes,6,Spain,Barcelona,2022,Race,,,79.512,6.0,25.325492307692308,33.4344393939394,30.498924242424245,293.2857142857143,4.0,54.534,5.0
47,M SCHUMACHER,Haas F1 Team,6,Spain,Barcelona,2022,Race,,,80.368,10.0,25.38840625,33.92467692307692,31.1436,301.6666666666667,3.0,-1.0,14.0
5,S VETTEL,Aston Martin,6,Spain,Barcelona,2022,Race,,,-1.0,16.0,25.39603125,33.986799999999995,30.78927692307693,298.03333333333336,3.0,-1.0,11.0
55,C SAINZ,Ferrari,6,Spain,Barcelona,2022,Race,,,79.166,3.0,25.04006153846154,33.49648484848485,30.57933333333333,303.0508474576271,4.0,45.208,4.0
6,N LATIFI,Williams,6,Spain,Barcelona,2022,Race,,,-1.0,20.0,25.760873015873013,34.136296875,31.325640625,301.1454545454545,4.0,-1.0,16.0
